Temperature (K),Pressure (bar),Density (kg/m3)
291.000,16.000,96.070
291.000,16.500,99.432
291.000,17.000,102.820
291.000,17.500,106.240
291.000,18.000,109.680
291.000,18.500,113.150
291.000,19.000,116.650
291.000,19.500,120.180
291.000,20.000,123.740
291.000,20.500,127.340
291.000,21.000,130.960
291.000,21.500,134.610
291.000,22.000,138.300
291.000,22.500,142.030
291.000,23.000,145.780
291.000,23.500,149.570
291.000,24.000,153.400
291.000,24.500,157.270
291.000,25.000,161.170
291.000,25.500,165.120
291.000,26.000,169.100
291.000,26.500,173.130
291.000,27.000,177.190
291.000,27.500,181.300
291.000,28.000,185.460
291.000,28.500,189.660
291.000,29.000,193.900
291.000,29.500,198.200
291.000,30.000,202.550
292.000,0.000,0.000
292.000,0.500,2.711
292.000,1.000,5.438
292.000,1.500,8.180
292.000,2.000,10.938
292.000,2.500,13.711
292.000,3.000,16.501
292.000,3.500,19.306
292.000,4.000,22.129
292.000,4.500,24.968
292.000,5.000,27.825
292.000,5.500,30.699
292.000,6.000,33.590
292.000,6.500,36.499
292.000,7.000,39.427
292.000,7.500,42.373
292.000,8.000,45.338
292.000,8.500,48.322
292.000,9.000,51.326
292.000,9.500,54.350
292.000,10.000,57.393
292.000,10.500,60.457
292.000,11.000,63.542
292.000,11.500,66.649
292.000,12.000,69.776
292.000,12.500,72.926
292.000,13.000,76.099
292.000,13.500,79.294
292.000,14.000,82.512
292.000,14.500,85.754
292.000,15.000,89.020
292.000,15.500,92.311
292.000,16.000,95.627
292.000,16.500,98.969
292.000,17.000,102.340
292.000,17.500,105.730
292.000,18.000,109.150
292.000,18.500,112.600
292.000,19.000,116.080
292.000,19.500,119.580
292.000,20.000,123.120
292.000,20.500,126.690
292.000,21.000,130.280
292.000,21.500,133.910
292.000,22.000,137.570
292.000,22.500,141.270
292.000,23.000,144.990
292.000,23.500,148.750
292.000,24.000,152.550
292.000,24.500,156.390
292.000,25.000,160.260
292.000,25.500,164.160
292.000,26.000,168.110
292.000,26.500,172.100
292.000,27.000,176.130
292.000,27.500,180.200
292.000,28.000,184.310
292.000,28.500,188.470
292.000,29.000,192.670
292.000,29.500,196.920
292.000,30.000,201.220
293.000,0.000,0.000
293.000,0.500,2.702
293.000,1.000,5.419
293.000,1.500,8.151
293.000,2.000,10.899
293.000,2.500,13.662
293.000,3.000,16.441
293.000,3.500,19.237
293.000,4.000,22.048
293.000,4.500,24.876
293.000,5.000,27.721
293.000,5.500,30.584
293.000,6.000,33.463
293.000,6.500,36.360
293.000,7.000,39.275
293.000,7.500,42.209
293.000,8.000,45.161
293.000,8.500,48.132
293.000,9.000,51.121
293.000,9.500,54.131
293.000,10.000,57.160
293.000,10.500,60.209
293.000,11.000,63.279
293.000,11.500,66.370
293.000,12.000,69.482
293.000,12.500,72.616
293.000,13.000,75.771
293.000,13.500,78.949
293.000,14.000,82.150
293.000,14.500,85.374
293.000,15.000,88.621
293.000,15.500,91.893
293.000,16.000,95.189
293.000,16.500,98.511
293.000,17.000,101.860
293.000,17.500,105.230
293.000,18.000,108.630
293.000,18.500,112.060
293.000,19.000,115.510
293.000,19.500,118.990
293.000,20.000,122.510
293.000,20.500,126.050
293.000,21.000,129.620
293.000,21.500,133.220
293.000,22.000,136.850
293.000,22.500,140.520
293.000,23.000,144.220
293.000,23.500,147.950
293.000,24.000,151.710
293.000,24.500,155.510
293.000,25.000,159.350
293.000,25.500,163.230
293.000,26.000,167.140
293.000,26.500,171.090
293.000,27.000,175.080
293.000,27.500,179.110
293.000,28.000,183.180
293.000,28.500,187.300
293.000,29.000,191.460
293.000,29.500,195.660
293.000,30.000,199.920
294.000,0.000,0.000
294.000,0.500,2.693
294.000,1.000,5.400
294.000,1.500,8.123
294.000,2.000,10.861
294.000,2.500,13.614
294.000,3.000,16.383
294.000,3.500,19.167
294.000,4.000,21.968
294.000,4.500,24.785
294.000,5.000,27.619
294.000,5.500,30.470
294.000,6.000,33.337
294.000,6.500,36.222
294.000,7.000,39.125
294.000,7.500,42.046
294.000,8.000,44.985
294.000,8.500,47.942
294.000,9.000,50.919
294.000,9.500,53.914
294.000,10.000,56.929
294.000,10.500,59.964
294.000,11.000,63.019
294.000,11.500,66.094
294.000,12.000,69.190
294.000,12.500,72.308
294.000,13.000,75.447
294.000,13.500,78.608
294.000,14.000,81.791
294.000,14.500,84.997
294.000,15.000,88.227
294.000,15.500,91.480
294.000,16.000,94.757
294.000,16.500,98.058
294.000,17.000,101.380
294.000,17.500,104.740
294.000,18.000,108.110
294.000,18.500,111.520
294.000,19.000,114.950
294.000,19.500,118.410
294.000,20.000,121.900
294.000,20.500,125.410
294.000,21.000,128.960
294.000,21.500,132.540
294.000,22.000,136.140
294.000,22.500,139.780
294.000,23.000,143.450
294.000,23.500,147.150
294.000,24.000,150.890
294.000,24.500,154.660
294.000,25.000,158.460
294.000,25.500,162.300
294.000,26.000,166.180
294.000,26.500,170.100
294.000,27.000,174.050
294.000,27.500,178.040
294.000,28.000,182.080
294.000,28.500,186.150
294.000,29.000,190.270
294.000,29.500,194.430
294.000,30.000,198.640
295.000,0.000,0.000
295.000,0.500,2.684
295.000,1.000,5.382
295.000,1.500,8.095
295.000,2.000,10.823
295.000,2.500,13.566
295.000,3.000,16.324
295.000,3.500,19.099
295.000,4.000,21.889
295.000,4.500,24.695
295.000,5.000,27.517
295.000,5.500,30.357
295.000,6.000,33.213
295.000,6.500,36.086
295.000,7.000,38.976
295.000,7.500,41.884
295.000,8.000,44.811
295.000,8.500,47.755
295.000,9.000,50.718
295.000,9.500,53.699
295.000,10.000,56.700
295.000,10.500,59.721
295.000,11.000,62.761
295.000,11.500,65.821
295.000,12.000,68.902
295.000,12.500,72.003
295.000,13.000,75.126
295.000,13.500,78.270
295.000,14.000,81.436
295.000,14.500,84.625
295.000,15.000,87.836
295.000,15.500,91.071
295.000,16.000,94.329
295.000,16.500,97.611
295.000,17.000,100.920
295.000,17.500,104.250
295.000,18.000,107.610
295.000,18.500,110.990
295.000,19.000,114.400
295.000,19.500,117.830
295.000,20.000,121.300
295.000,20.500,124.790
295.000,21.000,128.310
295.000,21.500,131.860
295.000,22.000,135.440
295.000,22.500,139.050
295.000,23.000,142.690
295.000,23.500,146.370
295.000,24.000,150.070
295.000,24.500,153.810
295.000,25.000,157.590
295.000,25.500,161.390
295.000,26.000,165.240
295.000,26.500,169.120
295.000,27.000,173.040
295.000,27.500,176.990
295.000,28.000,180.990
295.000,28.500,185.030
295.000,29.000,189.100
295.000,29.500,193.220
295.000,30.000,197.390
296.000,0.000,0.000
296.000,0.500,2.675
296.000,1.000,5.363
296.000,1.500,8.067
296.000,2.000,10.785
296.000,2.500,13.518
296.000,3.000,16.267
296.000,3.500,19.030
296.000,4.000,21.810
296.000,4.500,24.605
296.000,5.000,27.417
296.000,5.500,30.244
296.000,6.000,33.089
296.000,6.500,35.950
296.000,7.000,38.828
296.000,7.500,41.724
296.000,8.000,44.638
296.000,8.500,47.569
296.000,9.000,50.519
296.000,9.500,53.487
296.000,10.000,56.474
296.000,10.500,59.480
296.000,11.000,62.505
296.000,11.500,65.550
296.000,12.000,68.616
296.000,12.500,71.702
296.000,13.000,74.808
296.000,13.500,77.936
296.000,14.000,81.085
296.000,14.500,84.256
296.000,15.000,87.450
296.000,15.500,90.666
296.000,16.000,93.905
296.000,16.500,97.168
296.000,17.000,100.460
296.000,17.500,103.770
296.000,18.000,107.100
296.000,18.500,110.460
296.000,19.000,113.850
296.000,19.500,117.270
296.000,20.000,120.710
296.000,20.500,124.170
296.000,21.000,127.670
296.000,21.500,131.200
296.000,22.000,134.750
296.000,22.500,138.330
296.000,23.000,141.950
296.000,23.500,145.590
296.000,24.000,149.270
296.000,24.500,152.980
296.000,25.000,156.720
296.000,25.500,160.500
296.000,26.000,164.310
296.000,26.500,168.160
296.000,27.000,172.040
296.000,27.500,175.960
296.000,28.000,179.920
296.000,28.500,183.920
296.000,29.000,187.960
296.000,29.500,192.030
296.000,30.000,196.160
297.000,0.000,0.000
297.000,0.500,2.665
297.000,1.000,5.345
297.000,1.500,8.039
297.000,2.000,10.748
297.000,2.500,13.471
297.000,3.000,16.209
297.000,3.500,18.963
297.000,4.000,21.732
297.000,4.500,24.516
297.000,5.000,27.317
297.000,5.500,30.133
297.000,6.000,32.966
297.000,6.500,35.816
297.000,7.000,38.682
297.000,7.500,41.565
297.000,8.000,44.466
297.000,8.500,47.385
297.000,9.000,50.321
297.000,9.500,53.276
297.000,10.000,56.249
297.000,10.500,59.241
297.000,11.000,62.252
297.000,11.500,65.282
297.000,12.000,68.333
297.000,12.500,71.403
297.000,13.000,74.494
297.000,13.500,77.605
297.000,14.000,80.738
297.000,14.500,83.892
297.000,15.000,87.068
297.000,15.500,90.266
297.000,16.000,93.487
297.000,16.500,96.731
297.000,17.000,99.998
297.000,17.500,103.290
297.000,18.000,106.610
297.000,18.500,109.950
297.000,19.000,113.310
297.000,19.500,116.700
297.000,20.000,120.120
297.000,20.500,123.570
297.000,21.000,127.040
297.000,21.500,130.540
297.000,22.000,134.070
297.000,22.500,137.630
297.000,23.000,141.210
297.000,23.500,144.830
297.000,24.000,148.480
297.000,24.500,152.160
297.000,25.000,155.870
297.000,25.500,159.620
297.000,26.000,163.400
297.000,26.500,167.210
297.000,27.000,171.060
297.000,27.500,174.950
297.000,28.000,178.870
297.000,28.500,182.830
297.000,29.000,186.830
297.000,29.500,190.870
297.000,30.000,194.950
298.000,0.000,0.000
298.000,0.500,2.656
298.000,1.000,5.327
298.000,1.500,8.011
298.000,2.000,10.710
298.000,2.500,13.424
298.000,3.000,16.152
298.000,3.500,18.895
298.000,4.000,21.654
298.000,4.500,24.428
298.000,5.000,27.217
298.000,5.500,30.023
298.000,6.000,32.844
298.000,6.500,35.682
298.000,7.000,38.537
298.000,7.500,41.408
298.000,8.000,44.296
298.000,8.500,47.202
298.000,9.000,50.125
298.000,9.500,53.067
298.000,10.000,56.026
298.000,10.500,59.004
298.000,11.000,62.001
298.000,11.500,65.017
298.000,12.000,68.052
298.000,12.500,71.107
298.000,13.000,74.182
298.000,13.500,77.278
298.000,14.000,80.394
298.000,14.500,83.531
298.000,15.000,86.690
298.000,15.500,89.870
298.000,16.000,93.073
298.000,16.500,96.298
298.000,17.000,99.547
298.000,17.500,102.820
298.000,18.000,106.110
298.000,18.500,109.430
298.000,19.000,112.780
298.000,19.500,116.150
298.000,20.000,119.540
298.000,20.500,122.970
298.000,21.000,126.420
298.000,21.500,129.890
298.000,22.000,133.400
298.000,22.500,136.930
298.000,23.000,140.490
298.000,23.500,144.080
298.000,24.000,147.700
298.000,24.500,151.350
298.000,25.000,155.040
298.000,25.500,158.750
298.000,26.000,162.500
298.000,26.500,166.280
298.000,27.000,170.100
298.000,27.500,173.950
298.000,28.000,177.840
298.000,28.500,181.760
298.000,29.000,185.720
298.000,29.500,189.720
298.000,30.000,193.760
299.000,0.000,0.000
299.000,0.500,2.647
299.000,1.000,5.309
299.000,1.500,7.984
299.000,2.000,10.673
299.000,2.500,13.377
299.000,3.000,16.096
299.000,3.500,18.829
299.000,4.000,21.577
299.000,4.500,24.340
299.000,5.000,27.119
299.000,5.500,29.913
299.000,6.000,32.723
299.000,6.500,35.550
299.000,7.000,38.392
299.000,7.500,41.252
299.000,8.000,44.128
299.000,8.500,47.021
299.000,9.000,49.931
299.000,9.500,52.860
299.000,10.000,55.806
299.000,10.500,58.770
299.000,11.000,61.752
299.000,11.500,64.754
299.000,12.000,67.774
299.000,12.500,70.814
299.000,13.000,73.874
299.000,13.500,76.953
299.000,14.000,80.053
299.000,14.500,83.174
299.000,15.000,86.315
299.000,15.500,89.479
299.000,16.000,92.663
299.000,16.500,95.870
299.000,17.000,99.100
299.000,17.500,102.350
299.000,18.000,105.630
299.000,18.500,108.930
299.000,19.000,112.250
299.000,19.500,115.600
299.000,20.000,118.970
299.000,20.500,122.370
299.000,21.000,125.800
299.000,21.500,129.250
299.000,22.000,132.730
299.000,22.500,136.240
299.000,23.000,139.770
299.000,23.500,143.340
299.000,24.000,146.930
299.000,24.500,150.560
299.000,25.000,154.210
299.000,25.500,157.900
299.000,26.000,161.610
299.000,26.500,165.360
299.000,27.000,169.150
299.000,27.500,172.970
299.000,28.000,176.820
299.000,28.500,180.710
299.000,29.000,184.630
299.000,29.500,188.590
299.000,30.000,192.600
300.000,0.000,0.000
300.000,0.500,2.639
300.000,1.000,5.291
300.000,1.500,7.957
300.000,2.000,10.637
300.000,2.500,13.331
300.000,3.000,16.039
300.000,3.500,18.762
300.000,4.000,21.500
300.000,4.500,24.253
300.000,5.000,27.021
300.000,5.500,29.804
300.000,6.000,32.604
300.000,6.500,35.418
300.000,7.000,38.249
300.000,7.500,41.097
300.000,8.000,43.961
300.000,8.500,46.841
300.000,9.000,49.739
300.000,9.500,52.654
300.000,10.000,55.587
300.000,10.500,58.537
300.000,11.000,61.506
300.000,11.500,64.493
300.000,12.000,67.499
300.000,12.500,70.524
300.000,13.000,73.568
300.000,13.500,76.632
300.000,14.000,79.716
300.000,14.500,82.820
300.000,15.000,85.945
300.000,15.500,89.091
300.000,16.000,92.258
300.000,16.500,95.447
300.000,17.000,98.658
300.000,17.500,101.890
300.000,18.000,105.150
300.000,18.500,108.430
300.000,19.000,111.730
300.000,19.500,115.060
300.000,20.000,118.410
300.000,20.500,121.790
300.000,21.000,125.190
300.000,21.500,128.620
300.000,22.000,132.080
300.000,22.500,135.560
300.000,23.000,139.070
300.000,23.500,142.610
300.000,24.000,146.170
300.000,24.500,149.770
300.000,25.000,153.400
300.000,25.500,157.050
300.000,26.000,160.740
300.000,26.500,164.460
300.000,27.000,168.210
300.000,27.500,172.000
300.000,28.000,175.820
300.000,28.500,179.670
300.000,29.000,183.560
300.000,29.500,187.490
300.000,30.000,191.450
301.000,0.000,0.000
301.000,0.500,2.630
301.000,1.000,5.273
301.000,1.500,7.930
301.000,2.000,10.600
301.000,2.500,13.285
301.000,3.000,15.984
301.000,3.500,18.697
301.000,4.000,21.424
301.000,4.500,24.167
301.000,5.000,26.924
301.000,5.500,29.697
301.000,6.000,32.485
301.000,6.500,35.288
301.000,7.000,38.108
301.000,7.500,40.943
301.000,8.000,43.795
301.000,8.500,46.663
301.000,9.000,49.548
301.000,9.500,52.451
301.000,10.000,55.370
301.000,10.500,58.307
301.000,11.000,61.262
301.000,11.500,64.235
301.000,12.000,67.227
301.000,12.500,70.237
301.000,13.000,73.266
301.000,13.500,76.314
301.000,14.000,79.382
301.000,14.500,82.470
301.000,15.000,85.579
301.000,15.500,88.708
301.000,16.000,91.857
301.000,16.500,95.028
301.000,17.000,98.221
301.000,17.500,101.440
301.000,18.000,104.670
301.000,18.500,107.930
301.000,19.000,111.220
301.000,19.500,114.520
301.000,20.000,117.860
301.000,20.500,121.210
301.000,21.000,124.590
301.000,21.500,128.000
301.000,22.000,131.430
301.000,22.500,134.890
301.000,23.000,138.370
301.000,23.500,141.890
301.000,24.000,145.430
301.000,24.500,149.000
301.000,25.000,152.590
301.000,25.500,156.220
301.000,26.000,159.880
301.000,26.500,163.570
301.000,27.000,167.290
301.000,27.500,171.050
301.000,28.000,174.830
301.000,28.500,178.650
301.000,29.000,182.510
301.000,29.500,186.400
301.000,30.000,190.320
302.000,0.000,0.000
302.000,0.500,2.621
302.000,1.000,5.255
302.000,1.500,7.903
302.000,2.000,10.564
302.000,2.500,13.239
302.000,3.000,15.928
302.000,3.500,18.631
302.000,4.000,21.349
302.000,4.500,24.081
302.000,5.000,26.828
302.000,5.500,29.590
302.000,6.000,32.367
302.000,6.500,35.159
302.000,7.000,37.967
302.000,7.500,40.791
302.000,8.000,43.631
302.000,8.500,46.487
302.000,9.000,49.359
302.000,9.500,52.249
302.000,10.000,55.155
302.000,10.500,58.079
302.000,11.000,61.020
302.000,11.500,63.979
302.000,12.000,66.957
302.000,12.500,69.952
302.000,13.000,72.966
302.000,13.500,76.000
302.000,14.000,79.052
302.000,14.500,82.124
302.000,15.000,85.216
302.000,15.500,88.328
302.000,16.000,91.461
302.000,16.500,94.614
302.000,17.000,97.789
302.000,17.500,100.990
302.000,18.000,104.200
302.000,18.500,107.440
302.000,19.000,110.710
302.000,19.500,113.990
302.000,20.000,117.310
302.000,20.500,120.640
302.000,21.000,124.000
302.000,21.500,127.380
302.000,22.000,130.790
302.000,22.500,134.230
302.000,23.000,137.690
302.000,23.500,141.170
302.000,24.000,144.690
302.000,24.500,148.230
302.000,25.000,151.800
302.000,25.500,155.400
302.000,26.000,159.030
302.000,26.500,162.690
302.000,27.000,166.390
302.000,27.500,170.110
302.000,28.000,173.860
302.000,28.500,177.650
302.000,29.000,181.470
302.000,29.500,185.330
302.000,30.000,189.220
303.000,0.000,0.000
303.000,0.500,2.612
303.000,1.000,5.238
303.000,1.500,7.876
303.000,2.000,10.528
303.000,2.500,13.194
303.000,3.000,15.873
303.000,3.500,18.567
303.000,4.000,21.274
303.000,4.500,23.996
303.000,5.000,26.732
303.000,5.500,29.483
303.000,6.000,32.250
303.000,6.500,35.031
303.000,7.000,37.827
303.000,7.500,40.640
303.000,8.000,43.468
303.000,8.500,46.312
303.000,9.000,49.172
303.000,9.500,52.049
303.000,10.000,54.942
303.000,10.500,57.853
303.000,11.000,60.781
303.000,11.500,63.726
303.000,12.000,66.689
303.000,12.500,69.670
303.000,13.000,72.670
303.000,13.500,75.688
303.000,14.000,78.725
303.000,14.500,81.781
303.000,15.000,84.857
303.000,15.500,87.952
303.000,16.000,91.068
303.000,16.500,94.204
303.000,17.000,97.362
303.000,17.500,100.540
303.000,18.000,103.740
303.000,18.500,106.960
303.000,19.000,110.210
303.000,19.500,113.470
303.000,20.000,116.760
303.000,20.500,120.080
303.000,21.000,123.410
303.000,21.500,126.770
303.000,22.000,130.160
303.000,22.500,133.570
303.000,23.000,137.010
303.000,23.500,140.470
303.000,24.000,143.960
303.000,24.500,147.480
303.000,25.000,151.020
303.000,25.500,154.600
303.000,26.000,158.200
303.000,26.500,161.830
303.000,27.000,165.490
303.000,27.500,169.180
303.000,28.000,172.910
303.000,28.500,176.660
303.000,29.000,180.450
303.000,29.500,184.270
303.000,30.000,188.130
304.000,0.000,0.000
304.000,0.500,2.604
304.000,1.000,5.220
304.000,1.500,7.850
304.000,2.000,10.493
304.000,2.500,13.149
304.000,3.000,15.819
304.000,3.500,18.502
304.000,4.000,21.200
304.000,4.500,23.911
304.000,5.000,26.638
304.000,5.500,29.378
304.000,6.000,32.133
304.000,6.500,34.904
304.000,7.000,37.689
304.000,7.500,40.490
304.000,8.000,43.306
304.000,8.500,46.138
304.000,9.000,48.986
304.000,9.500,51.850
304.000,10.000,54.731
304.000,10.500,57.629
304.000,11.000,60.543
304.000,11.500,63.475
304.000,12.000,66.424
304.000,12.500,69.391
304.000,13.000,72.376
304.000,13.500,75.379
304.000,14.000,78.401
304.000,14.500,81.442
304.000,15.000,84.501
304.000,15.500,87.581
304.000,16.000,90.680
304.000,16.500,93.799
304.000,17.000,96.939
304.000,17.500,100.100
304.000,18.000,103.280
304.000,18.500,106.480
304.000,19.000,109.710
304.000,19.500,112.960
304.000,20.000,116.220
304.000,20.500,119.520
304.000,21.000,122.830
304.000,21.500,126.170
304.000,22.000,129.540
304.000,22.500,132.930
304.000,23.000,136.340
304.000,23.500,139.780
304.000,24.000,143.240
304.000,24.500,146.740
304.000,25.000,150.260
304.000,25.500,153.800
304.000,26.000,157.380
304.000,26.500,160.980
304.000,27.000,164.610
304.000,27.500,168.280
304.000,28.000,171.970
304.000,28.500,175.690
304.000,29.000,179.450
304.000,29.500,183.240
304.000,30.000,187.060
305.000,0.000,0.000
305.000,0.500,2.595
305.000,1.000,5.203
305.000,1.500,7.823
305.000,2.000,10.457
305.000,2.500,13.104
305.000,3.000,15.764
305.000,3.500,18.438
305.000,4.000,21.126
305.000,4.500,23.828
305.000,5.000,26.543
305.000,5.500,29.274
305.000,6.000,32.018
305.000,6.500,34.777
305.000,7.000,37.552
305.000,7.500,40.341
305.000,8.000,43.146
305.000,8.500,45.966
305.000,9.000,48.802
305.000,9.500,51.654
305.000,10.000,54.522
305.000,10.500,57.406
305.000,11.000,60.308
305.000,11.500,63.226
305.000,12.000,66.161
305.000,12.500,69.114
305.000,13.000,72.085
305.000,13.500,75.073
305.000,14.000,78.080
305.000,14.500,81.105
305.000,15.000,84.149
305.000,15.500,87.213
305.000,16.000,90.295
305.000,16.500,93.398
305.000,17.000,96.520
305.000,17.500,99.663
305.000,18.000,102.830
305.000,18.500,106.010
305.000,19.000,109.220
305.000,19.500,112.440
305.000,20.000,115.690
305.000,20.500,118.970
305.000,21.000,122.260
305.000,21.500,125.580
305.000,22.000,128.920
305.000,22.500,132.290
305.000,23.000,135.680
305.000,23.500,139.090
305.000,24.000,142.540
305.000,24.500,146.000
305.000,25.000,149.500
305.000,25.500,153.020
305.000,26.000,156.570
305.000,26.500,160.140
305.000,27.000,163.750
305.000,27.500,167.380
305.000,28.000,171.040
305.000,28.500,174.730
305.000,29.000,178.460
305.000,29.500,182.210
305.000,30.000,186.000
306.000,0.000,0.000
306.000,0.500,2.587
306.000,1.000,5.186
306.000,1.500,7.797
306.000,2.000,10.422
306.000,2.500,13.060
306.000,3.000,15.711
306.000,3.500,18.375
306.000,4.000,21.053
306.000,4.500,23.744
306.000,5.000,26.450
306.000,5.500,29.170
306.000,6.000,31.904
306.000,6.500,34.652
306.000,7.000,37.415
306.000,7.500,40.193
306.000,8.000,42.987
306.000,8.500,45.795
306.000,9.000,48.619
306.000,9.500,51.459
306.000,10.000,54.314
306.000,10.500,57.186
306.000,11.000,60.074
306.000,11.500,62.979
306.000,12.000,65.901
306.000,12.500,68.840
306.000,13.000,71.796
306.000,13.500,74.770
306.000,14.000,77.762
306.000,14.500,80.772
306.000,15.000,83.801
306.000,15.500,86.848
306.000,16.000,89.915
306.000,16.500,93.001
306.000,17.000,96.106
306.000,17.500,99.231
306.000,18.000,102.380
306.000,18.500,105.540
306.000,19.000,108.730
306.000,19.500,111.940
306.000,20.000,115.170
306.000,20.500,118.420
306.000,21.000,121.700
306.000,21.500,124.990
306.000,22.000,128.310
306.000,22.500,131.660
306.000,23.000,135.030
306.000,23.500,138.420
306.000,24.000,141.840
306.000,24.500,145.280
306.000,25.000,148.750
306.000,25.500,152.240
306.000,26.000,155.760
306.000,26.500,159.310
306.000,27.000,162.890
306.000,27.500,166.500
306.000,28.000,170.130
306.000,28.500,173.790
306.000,29.000,177.490
306.000,29.500,181.210
306.000,30.000,184.960
307.000,0.000,0.000
307.000,0.500,2.578
307.000,1.000,5.168
307.000,1.500,7.771
307.000,2.000,10.387
307.000,2.500,13.016
307.000,3.000,15.657
307.000,3.500,18.312
307.000,4.000,20.980
307.000,4.500,23.662
307.000,5.000,26.357
307.000,5.500,29.067
307.000,6.000,31.790
307.000,6.500,34.528
307.000,7.000,37.280
307.000,7.500,40.047
307.000,8.000,42.829
307.000,8.500,45.626
307.000,9.000,48.438
307.000,9.500,51.265
307.000,10.000,54.109
307.000,10.500,56.968
307.000,11.000,59.843
307.000,11.500,62.735
307.000,12.000,65.643
307.000,12.500,68.568
307.000,13.000,71.511
307.000,13.500,74.470
307.000,14.000,77.448
307.000,14.500,80.443
307.000,15.000,83.456
307.000,15.500,86.488
307.000,16.000,89.538
307.000,16.500,92.608
307.000,17.000,95.696
307.000,17.500,98.804
307.000,18.000,101.930
307.000,18.500,105.080
307.000,19.000,108.250
307.000,19.500,111.440
307.000,20.000,114.650
307.000,20.500,117.880
307.000,21.000,121.140
307.000,21.500,124.410
307.000,22.000,127.710
307.000,22.500,131.040
307.000,23.000,134.380
307.000,23.500,137.750
307.000,24.000,141.150
307.000,24.500,144.570
307.000,25.000,148.010
307.000,25.500,151.480
307.000,26.000,154.980
307.000,26.500,158.500
307.000,27.000,162.050
307.000,27.500,165.620
307.000,28.000,169.230
307.000,28.500,172.860
307.000,29.000,176.530
307.000,29.500,180.220
307.000,30.000,183.940
308.000,0.000,0.000
308.000,0.500,2.570
308.000,1.000,5.151
308.000,1.500,7.745
308.000,2.000,10.352
308.000,2.500,12.972
308.000,3.000,15.604
308.000,3.500,18.249
308.000,4.000,20.908
308.000,4.500,23.580
308.000,5.000,26.265
308.000,5.500,28.965
308.000,6.000,31.678
308.000,6.500,34.405
308.000,7.000,37.146
308.000,7.500,39.902
308.000,8.000,42.672
308.000,8.500,45.458
308.000,9.000,48.258
308.000,9.500,51.074
308.000,10.000,53.905
308.000,10.500,56.751
308.000,11.000,59.614
308.000,11.500,62.493
308.000,12.000,65.388
308.000,12.500,68.299
308.000,13.000,71.228
308.000,13.500,74.173
308.000,14.000,77.136
308.000,14.500,80.116
308.000,15.000,83.114
308.000,15.500,86.131
308.000,16.000,89.165
308.000,16.500,92.218
308.000,17.000,95.291
308.000,17.500,98.382
308.000,18.000,101.490
308.000,18.500,104.620
308.000,19.000,107.770
308.000,19.500,110.950
308.000,20.000,114.140
308.000,20.500,117.350
308.000,21.000,120.590
308.000,21.500,123.840
308.000,22.000,127.120
308.000,22.500,130.420
308.000,23.000,133.750
308.000,23.500,137.090
308.000,24.000,140.470
308.000,24.500,143.860
308.000,25.000,147.280
308.000,25.500,150.730
308.000,26.000,154.200
308.000,26.500,157.690
308.000,27.000,161.220
308.000,27.500,164.770
308.000,28.000,168.340
308.000,28.500,171.950
308.000,29.000,175.580
308.000,29.500,179.240
308.000,30.000,182.940
309.000,0.000,0.000
309.000,0.500,2.561
309.000,1.000,5.134
309.000,1.500,7.720
309.000,2.000,10.318
309.000,2.500,12.928
309.000,3.000,15.551
309.000,3.500,18.187
309.000,4.000,20.836
309.000,4.500,23.499
309.000,5.000,26.174
309.000,5.500,28.863
309.000,6.000,31.566
309.000,6.500,34.282
309.000,7.000,37.013
309.000,7.500,39.758
309.000,8.000,42.517
309.000,8.500,45.291
309.000,9.000,48.080
309.000,9.500,50.884
309.000,10.000,53.702
309.000,10.500,56.537
309.000,11.000,59.387
309.000,11.500,62.253
309.000,12.000,65.134
309.000,12.500,68.033
309.000,13.000,70.947
309.000,13.500,73.879
309.000,14.000,76.827
309.000,14.500,79.793
309.000,15.000,82.776
309.000,15.500,85.777
309.000,16.000,88.796
309.000,16.500,91.833
309.000,17.000,94.889
309.000,17.500,97.964
309.000,18.000,101.060
309.000,18.500,104.170
309.000,19.000,107.300
309.000,19.500,110.460
309.000,20.000,113.630
309.000,20.500,116.820
309.000,21.000,120.040
309.000,21.500,123.280
309.000,22.000,126.530
309.000,22.500,129.820
309.000,23.000,133.120
309.000,23.500,136.440
309.000,24.000,139.790
309.000,24.500,143.170
309.000,25.000,146.560
309.000,25.500,149.980
309.000,26.000,153.430
309.000,26.500,156.900
309.000,27.000,160.400
309.000,27.500,163.920
309.000,28.000,167.470
309.000,28.500,171.050
309.000,29.000,174.650
309.000,29.500,178.280
309.000,30.000,181.950
310.000,0.000,0.000
310.000,0.500,2.553
310.000,1.000,5.118
310.000,1.500,7.694
310.000,2.000,10.284
310.000,2.500,12.885
310.000,3.000,15.499
310.000,3.500,18.126
310.000,4.000,20.765
310.000,4.500,23.418
310.000,5.000,26.083
310.000,5.500,28.762
310.000,6.000,31.455
310.000,6.500,34.161
310.000,7.000,36.881
310.000,7.500,39.615
310.000,8.000,42.363
310.000,8.500,45.126
310.000,9.000,47.903
310.000,9.500,50.695
310.000,10.000,53.502
310.000,10.500,56.324
310.000,11.000,59.161
310.000,11.500,62.014
310.000,12.000,64.883
310.000,12.500,67.768
310.000,13.000,70.669
310.000,13.500,73.587
310.000,14.000,76.521
310.000,14.500,79.473
310.000,15.000,82.441
310.000,15.500,85.427
310.000,16.000,88.431
310.000,16.500,91.452
310.000,17.000,94.492
310.000,17.500,97.550
310.000,18.000,100.630
